9:05:15 PM web.1 |  ERROR StatusLogger No log4j2 configuration file found. Using default configuration: logging only errors to the console. Set system property 'log4j2.debug' to show Log4j2 internal initialization logging.
9:05:23 PM web.1 |  1
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  4
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  4
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  4
9:05:23 PM web.1 |  4
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  4
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  4
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  4
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  6
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  999
9:05:23 PM web.1 |  5
9:05:23 PM web.1 |  999
